algo,pivot,neighborhood,meme_divers_try,meme_mean_try,meme_cross_rate_mut,meme_offspring,meme_pop,meme_mut_rate,meme_cross_rate,instance,best_known_cost,cost,elapsed_seconds,solution
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3415872,0.616927,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3423133,1.8148,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3426082,2.899815,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3426289,3.442102,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3427977,4.543586,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3428661,5.008401,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3433434,6.044621,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3434886,6.572164,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3435117,7.46678,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3439025,7.993637,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3439548,9.238141,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3441883,9.732312,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3443528,11.296126,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3443664,12.55192,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3446244,13.024333,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3446904,15.784283,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3449463,16.579945,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3450441,17.584841,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3450548,17.9128,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3451244,18.901918,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3451416,19.235155,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3451643,20.191326,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3453694,21.123217,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3454172,22.4193,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3454228,23.099403,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3454528,23.428753,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3454718,24.089516,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3455608,24.362862,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3455829,26.550816,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3456117,28.027229,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3456190,29.040386,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3456197,29.235624,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3457125,29.64492,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3458880,30.685579,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3459249,32.506111,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3459299,33.35043,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3459423,33.559547,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3459555,34.354576,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3459600,34.644028,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3459631,34.794521,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3459643,35.189808,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3459661,35.430939,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3459714,36.030724,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3459719,37.062386,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3459722,37.556049,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3459734,37.803993,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3459785,38.312237,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3459801,42.619205,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3459886,43.075165,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3459888,43.227276,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3459907,43.393688,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3459941,43.627522,
memetic,best,"['transpose', 'exchange', 'insert']",5,30,0.8,11,25,0.1,0.5,N-be75eec_150,3482828,3459960,44.168396,
