algo,pivot,neighborhood,meme_divers_try,meme_mean_try,meme_cross_rate_mut,meme_offspring,meme_pop,meme_mut_rate,meme_cross_rate,instance,best_known_cost,cost,elapsed_seconds,solution
memetic,first,['exchange'],3,10,0,10,20,0.1,0.5,N-be75eec_150,3482828,3418928,1.676588,
memetic,first,['exchange'],3,10,0,10,20,0.1,0.5,N-be75eec_150,3482828,3430158,5.062746,
memetic,first,['exchange'],3,10,0,10,20,0.1,0.5,N-be75eec_150,3482828,3433217,8.268783,
memetic,first,['exchange'],3,10,0,10,20,0.1,0.5,N-be75eec_150,3482828,3433899,19.399822,
memetic,first,['exchange'],3,10,0,10,20,0.1,0.5,N-be75eec_150,3482828,3436784,28.972366,
memetic,first,['exchange'],3,10,0,10,20,0.1,0.5,N-be75eec_150,3482828,3437361,32.1315,
memetic,first,['exchange'],3,10,0,10,20,0.1,0.5,N-be75eec_150,3482828,3438731,33.740993,
memetic,first,['exchange'],3,10,0,10,20,0.1,0.5,N-be75eec_150,3482828,3440167,43.414833,
memetic,first,['exchange'],3,10,0,10,20,0.1,0.5,N-be75eec_150,3482828,3440936,45.071453,
memetic,first,['exchange'],3,10,0,10,20,0.1,0.5,N-be75eec_150,3482828,3441186,50.04557,
memetic,first,['exchange'],3,10,0,10,20,0.1,0.5,N-be75eec_150,3482828,3441394,53.431362,
memetic,first,['exchange'],3,10,0,10,20,0.1,0.5,N-be75eec_150,3482828,3444030,64.730766,
memetic,first,['exchange'],3,10,0,10,20,0.1,0.5,N-be75eec_150,3482828,3444467,77.801994,
memetic,first,['exchange'],3,10,0,10,20,0.1,0.5,N-be75eec_150,3482828,3446377,81.323578,
memetic,first,['exchange'],3,10,0,10,20,0.1,0.5,N-be75eec_150,3482828,3450590,101.362701,
memetic,first,['exchange'],3,10,0,10,20,0.1,0.5,N-be75eec_150,3482828,3451702,191.183563,
memetic,first,['exchange'],3,10,0,10,20,0.1,0.5,N-be75eec_150,3482828,3452576,225.822647,
memetic,first,['exchange'],3,10,0,10,20,0.1,0.5,N-be75eec_150,3482828,3454214,236.924301,
memetic,first,['exchange'],3,10,0,10,20,0.1,0.5,N-be75eec_150,3482828,3458382,356.329254,
memetic,first,['exchange'],3,10,0,10,20,0.1,0.5,N-be75eec_150,3482828,3458578,469.562042,
memetic,first,['exchange'],3,10,0,10,20,0.1,0.5,N-be75eec_150,3482828,3460580,612.565308,
memetic,first,['exchange'],3,10,0,10,20,0.1,0.5,N-be75eec_150,3482828,3461767,777.046814,
memetic,first,['exchange'],3,10,0,10,20,0.1,0.5,N-be75eec_150,3482828,3462078,814.814392,
memetic,first,['exchange'],3,10,0,10,20,0.1,0.5,N-be75eec_150,3482828,3462214,1443.450317,
memetic,first,['exchange'],3,10,0,10,20,0.1,0.5,N-be75eec_150,3482828,3466862,1465.072998,
memetic,first,['exchange'],3,10,0,10,20,0.1,0.5,N-be75eec_150,3482828,3466862,1904.305908,
memetic,first,['exchange'],3,10,0,10,20,0.3,0.5,N-be75eec_150,3482828,3419926,2.856979,
memetic,first,['exchange'],3,10,0,10,20,0.3,0.5,N-be75eec_150,3482828,3420597,8.755197,
memetic,first,['exchange'],3,10,0,10,20,0.3,0.5,N-be75eec_150,3482828,3421733,11.92306,
memetic,first,['exchange'],3,10,0,10,20,0.3,0.5,N-be75eec_150,3482828,3431947,17.735943,
memetic,first,['exchange'],3,10,0,10,20,0.3,0.5,N-be75eec_150,3482828,3434104,32.678501,
memetic,first,['exchange'],3,10,0,10,20,0.3,0.5,N-be75eec_150,3482828,3436305,38.713264,
memetic,first,['exchange'],3,10,0,10,20,0.3,0.5,N-be75eec_150,3482828,3438454,48.056225,
memetic,first,['exchange'],3,10,0,10,20,0.3,0.5,N-be75eec_150,3482828,3439521,145.355087,
memetic,first,['exchange'],3,10,0,10,20,0.3,0.5,N-be75eec_150,3482828,3446191,184.416855,
memetic,first,['exchange'],3,10,0,10,20,0.3,0.5,N-be75eec_150,3482828,3446892,250.000916,
memetic,first,['exchange'],3,10,0,10,20,0.3,0.5,N-be75eec_150,3482828,3451397,575.033875,
memetic,first,['exchange'],3,10,0,10,20,0.3,0.5,N-be75eec_150,3482828,3454028,741.525452,
memetic,first,['exchange'],3,10,0,10,20,0.3,0.5,N-be75eec_150,3482828,3454028,1548.213257,
memetic,first,['exchange'],3,10,0.5,10,20,0.1,0.5,N-be75eec_150,3482828,3418928,1.696101,
memetic,first,['exchange'],3,10,0.5,10,20,0.1,0.5,N-be75eec_150,3482828,3432884,3.406627,
memetic,first,['exchange'],3,10,0.5,10,20,0.1,0.5,N-be75eec_150,3482828,3434635,8.792973,
memetic,first,['exchange'],3,10,0.5,10,20,0.1,0.5,N-be75eec_150,3482828,3437393,10.472208,
memetic,first,['exchange'],3,10,0.5,10,20,0.1,0.5,N-be75eec_150,3482828,3441682,15.726659,
memetic,first,['exchange'],3,10,0.5,10,20,0.1,0.5,N-be75eec_150,3482828,3442535,17.16177,
memetic,first,['exchange'],3,10,0.5,10,20,0.1,0.5,N-be75eec_150,3482828,3443790,20.351177,
memetic,first,['exchange'],3,10,0.5,10,20,0.1,0.5,N-be75eec_150,3482828,3445329,23.616083,
memetic,first,['exchange'],3,10,0.5,10,20,0.1,0.5,N-be75eec_150,3482828,3448137,26.871897,
memetic,first,['exchange'],3,10,0.5,10,20,0.1,0.5,N-be75eec_150,3482828,3448996,34.421055,
memetic,first,['exchange'],3,10,0.5,10,20,0.1,0.5,N-be75eec_150,3482828,3450852,40.457809,
memetic,first,['exchange'],3,10,0.5,10,20,0.1,0.5,N-be75eec_150,3482828,3451764,45.088745,
memetic,first,['exchange'],3,10,0.5,10,20,0.1,0.5,N-be75eec_150,3482828,3452962,55.500954,
memetic,first,['exchange'],3,10,0.5,10,20,0.1,0.5,N-be75eec_150,3482828,3455039,57.070877,
memetic,first,['exchange'],3,10,0.5,10,20,0.1,0.5,N-be75eec_150,3482828,3455140,58.478584,
memetic,first,['exchange'],3,10,0.5,10,20,0.1,0.5,N-be75eec_150,3482828,3456558,59.878139,
memetic,first,['exchange'],3,10,0.5,10,20,0.1,0.5,N-be75eec_150,3482828,3458639,65.718422,
memetic,first,['exchange'],3,10,0.5,10,20,0.1,0.5,N-be75eec_150,3482828,3458771,77.005714,
memetic,first,['exchange'],3,10,0.5,10,20,0.1,0.5,N-be75eec_150,3482828,3459332,79.931595,
memetic,first,['exchange'],3,10,0.5,10,20,0.1,0.5,N-be75eec_150,3482828,3459651,81.37011,
memetic,first,['exchange'],3,10,0.5,10,20,0.1,0.5,N-be75eec_150,3482828,3461103,82.916199,
memetic,first,['exchange'],3,10,0.5,10,20,0.1,0.5,N-be75eec_150,3482828,3465470,85.999786,
memetic,first,['exchange'],3,10,0.5,10,20,0.1,0.5,N-be75eec_150,3482828,3466310,166.265396,
memetic,first,['exchange'],3,10,0.5,10,20,0.1,0.5,N-be75eec_150,3482828,3467238,239.358871,
memetic,first,['exchange'],3,10,0.5,10,20,0.1,0.5,N-be75eec_150,3482828,3467363,277.262604,
memetic,first,['exchange'],3,10,0.5,10,20,0.1,0.5,N-be75eec_150,3482828,3467619,296.379059,
memetic,first,['exchange'],3,10,0.5,10,20,0.1,0.5,N-be75eec_150,3482828,3468462,297.773651,
memetic,first,['exchange'],3,10,0.5,10,20,0.1,0.5,N-be75eec_150,3482828,3468542,765.825317,
memetic,first,['exchange'],3,10,0.5,10,20,0.1,0.5,N-be75eec_150,3482828,3470064,767.023926,
memetic,first,['exchange'],3,10,0.5,10,20,0.1,0.5,N-be75eec_150,3482828,3471409,1401.930664,
memetic,first,['exchange'],3,10,0.5,10,20,0.1,0.5,N-be75eec_150,3482828,3471416,1593.436279,
memetic,first,['exchange'],3,10,0.5,10,20,0.1,0.5,N-be75eec_150,3482828,3471417,1621.443115,
memetic,first,['exchange'],3,10,0.5,10,20,0.1,0.5,N-be75eec_150,3482828,3471429,1622.333008,
memetic,first,['exchange'],3,10,0.5,10,20,0.1,0.5,N-be75eec_150,3482828,3471446,1624.017944,
memetic,first,['exchange'],3,10,0.5,10,20,0.1,0.5,N-be75eec_150,3482828,3471459,1631.200684,
memetic,first,['exchange'],3,10,0.5,10,20,0.1,0.5,N-be75eec_150,3482828,3472188,1632.111572,
memetic,first,['exchange'],3,10,0.5,10,20,0.1,0.5,N-be75eec_150,3482828,3472269,1684.942261,
memetic,first,['exchange'],3,10,0.5,10,20,0.1,0.5,N-be75eec_150,3482828,3472314,1702.962036,
memetic,first,['exchange'],3,10,0.5,10,20,0.1,0.5,N-be75eec_150,3482828,3472400,1728.35083,
